speaker_id,total_seconds,total_minutes
SPEAKER_11,668.91,11.15
SPEAKER_04,310.44,5.17
SPEAKER_06,283.4,4.72
SPEAKER_19,274.59,4.58
SPEAKER_25,260.69,4.34
SPEAKER_17,249.18,4.15
SPEAKER_23,242.58,4.04
SPEAKER_07,199.86,3.33
SPEAKER_15,181.22,3.02
SPEAKER_10,102.06,1.7
SPEAKER_26,73.61,1.23
SPEAKER_36,67.1,1.12
SPEAKER_35,60.8,1.01
SPEAKER_22,60.57,1.01
SPEAKER_28,56.16,0.94
SPEAKER_37,55.76,0.93
SPEAKER_14,51.41,0.86
SPEAKER_05,50.63,0.84
SPEAKER_24,41.57,0.69
SPEAKER_16,38.66,0.64
SPEAKER_29,38.17,0.64
SPEAKER_08,37.19,0.62
SPEAKER_09,36.62,0.61
SPEAKER_02,35.37,0.59
SPEAKER_20,35.27,0.59
SPEAKER_21,32.42,0.54
SPEAKER_00,31.53,0.53
SPEAKER_27,31.32,0.52
SPEAKER_13,31.3,0.52
SPEAKER_01,28.54,0.48
SPEAKER_32,27.47,0.46
SPEAKER_03,25.97,0.43
SPEAKER_33,25.42,0.42
SPEAKER_18,24.91,0.42
SPEAKER_31,23.12,0.39
SPEAKER_30,17.5,0.29
SPEAKER_12,16.69,0.28
SPEAKER_34,9.33,0.16
